Account_Number,Customer_Name,Amount_Financed,Product_Description,Currency,Value_Date,Maturity_Date,Interest_Rate,Principal_os_amount,Principal_Overdue_Amount,Interest_Overdue_Amount,Overdue_Days,Branch_Code,PRINCIPAL_INSTALLMENTS,CR_ACC
4245836024,Njeri,104235039,Asset Finance,KES,2023-03-07,2022-12-31,14.63,14502193.8,116522052.3,5438897.49,113,EF90GH,2964023.06,268110001
9339652053,Muthoni,13806187,Retail,USD,2023-05-26,2023-09-09,15.68,59642844.51,21357613.1,7063173.69,312,WX56YZ,2968364.87,268110002
2185081115,Muthoni,2369541,Corporate,KES,2021-04-20,2023-08-15,10.86,27922445.73,90651963.65,8312672.93,64,WX56YZ,2060600.11,268110002
8286230278,Kamau,92746774,Term Loan,KES,2021-10-19,2023-04-08,10.01,113985247.6,17380820.55,3789975.55,171,IJ56KL,2513010.61,268110004
4251938658,Wanjiku,73379443,Corporate,KES,2023-02-02,2023-07-20,13.66,26448300.13,10370546.91,5126691.56,164,EF34GH,2917118.21,268110002
4635861131,Kamau,26260700,Term Loan,KES,2021-04-10,2023-04-01,14.33,9832861.64,107208471.7,5610297.16,318,WX56YZ,1062485.15,268110000
2242136622,Kamau,43892214,Corporate,KES,2022-07-03,2023-08-04,9.06,43846869.25,39270800.46,6614990.8,134,MN78OP,1890480.33,268110003
4290178284,Auma,34692483,Retail,KES,2021-09-18,2023-08-13,12.76,36204199.24,73379143.93,5365945.67,170,EF90GH,1187518.66,268110002
1002625304,Odhiambo,99424641,Retail,KES,2022-01-23,2023-02-21,13.56,10649568.99,67058009.72,7160061.92,296,WX56YZ,1210427.9,268110002
4039484424,Kamau,88160823,Asset Finance,KES,2021-06-16,2023-04-13,13.37,12232662.61,22985218.06,3316321.61,111,WX56YZ,1134091.04,268110005
9108307913,Wanjiku,117631606,Asset Finance,KES,2022-04-25,2023-08-18,9.82,14803029.79,117104996.5,4475952.71,16,QR90ST,2331423.99,268110001
2827856739,Omondi,38874738,Corporate,KES,2021-04-25,2023-01-14,11.68,92779677.91,16867776.06,5785099.28,169,WX56YZ,2804546.96,268110005
4271675960,Omondi,54567192,Retail,KES,2022-10-20,2023-02-04,14.88,57155389.92,75367467.35,2690355.4,307,CD56EF,106321.35,268110000
9919996185,Kamau,112024061,Asset Finance,KES,2021-12-04,2022-12-29,13.4,5690803.63,15737305.52,561460.73,348,OP12QR,2863034.15,268110003
3523135626,Auma,118843465,Corporate,USD,2021-10-18,2023-05-17,13.46,40586741.86,21231535.85,773887.19,244,EF34GH,1612650.38,268110000
3892266239,Njeri,96707053,Asset Finance,KES,2023-07-18,2023-06-30,11.54,119745398.4,100376923.9,1883548.78,195,WX56YZ,672988.19,268110004
